title,channel,video_url,views,likes,comments,publishedAt,duration
Squeezie fait une blague raciste ?,SQUEEZIE,https://www.youtube.com/watch?v=J0Kwl2cGifg,269472,14556,56,2024-12-05T17:00:19Z,PT1M24S
Le bodycount de Squeezie,SQUEEZIE,https://www.youtube.com/watch?v=SEU51qfgbnQ,691708,37332,78,2024-12-03T17:00:32Z,PT1M17S
Squeezie dévoile son objet le plus cher 😱,SQUEEZIE,https://www.youtube.com/watch?v=ZyDHAUW77_I,984548,75645,143,2024-12-01T18:00:31Z,PT52S
"Des inconnus nous jugent... (ft Djilsi, Léna, Theodort, Maghla)",SQUEEZIE,https://www.youtube.com/watch?v=HqqisGjdPvQ,12129659,542585,6302,2024-11-30T18:25:26Z,PT48M30S
Léon Marchand rencontre Jumbo,SQUEEZIE,https://www.youtube.com/watch?v=q0E27MXmvNM,457178,34940,44,2024-11-21T18:00:28Z,PT12S
L'ancien prof de Squeezie,SQUEEZIE,https://www.youtube.com/watch?v=OjPnSe8NBIM,931594,80272,157,2024-11-19T18:00:21Z,PT35S
Léon Marchand se lance sur YouTube ?,SQUEEZIE,https://www.youtube.com/watch?v=isImFWHMUlE,114133,6445,20,2024-11-17T18:00:22Z,PT30S
Se raser pour nager plus vite ?,SQUEEZIE,https://www.youtube.com/watch?v=ReH237Zbkzs,1524941,111554,101,2024-11-15T11:00:30Z,PT40S
Léon Marchand et Squeezie en chaussettes (ft Freddy Gladieux & Oscar) - Micro Chaussettes #2,SQUEEZIE,https://www.youtube.com/watch?v=3DFUYS4mPKA,3278288,146549,1803,2024-11-14T18:09:34Z,PT1H8M1S
La daronne d'Amine est actrice ?,SQUEEZIE,https://www.youtube.com/watch?v=YSjncCUUGQM,370774,29904,76,2024-11-04T09:08:36Z,PT44S
Ce pote,SQUEEZIE,https://www.youtube.com/watch?v=SUXEHsBd5zg,932501,71637,370,2024-11-01T18:47:54Z,PT58S
72h enfermés dans les catacombes,SQUEEZIE,https://www.youtube.com/watch?v=Acxn7x1kBok,8011266,400937,7556,2024-10-31T18:41:14Z,PT1H23M29S
Le dérapage de l'imposteur,SQUEEZIE,https://www.youtube.com/watch?v=qIo4_yAc1kM,451186,22525,186,2024-10-25T17:00:47Z,PT44S
Le château d'oignon de Philou,SQUEEZIE,https://www.youtube.com/watch?v=Od3u0_5LLxU,3225229,166294,326,2024-10-22T17:00:19Z,PT55S
Alain Chabat n'a pas compris le concept,SQUEEZIE,https://www.youtube.com/watch?v=c8S13xctIU0,3229290,127337,228,2024-10-20T16:59:51Z,PT19S
QUI EST L'IMPOSTEUR ? (ft Alain Chabat & Adèle Exarchopoulos),SQUEEZIE,https://www.youtube.com/watch?v=x7JnA8ssuqY,13635849,551746,7868,2024-10-19T17:15:46Z,PT54M45S
Il a été kidnappé pendant 7 ans...,SQUEEZIE,https://www.youtube.com/watch?v=LyDJTp4nS3w,7529883,477660,6295,2024-10-14T17:10:47Z,PT33M49S
Squeezie parle de sa calvitie,SQUEEZIE,https://www.youtube.com/watch?v=RLNR8LKTobY,946666,43924,256,2024-10-10T17:00:21Z,PT1M
Jonathan Cohen écrase Jumbo,SQUEEZIE,https://www.youtube.com/watch?v=K8jwL98JIwc,1082568,90549,121,2024-10-08T17:00:14Z,PT48S
Ils se moquent de mes tatouages,SQUEEZIE,https://www.youtube.com/watch?v=NjxCYAGnf-c,1697415,82668,187,2024-10-07T05:00:13Z,PT1M
Jonathan Cohen présente sa méthode KAIZEN,SQUEEZIE,https://www.youtube.com/watch?v=4ti1h-q_Aqk,609630,34906,130,2024-10-06T15:18:31Z,PT59S
Jonathan Cohen et Squeezie en chaussettes (ft Freddy Gladieux & Jeantou) - Micro Chaussettes #1,SQUEEZIE,https://www.youtube.com/watch?v=KXYJy9Ox4RY,5862076,214662,3129,2024-10-06T15:15:25Z,PT1H18M57S
Le deepfake de Djilsi,SQUEEZIE,https://www.youtube.com/watch?v=l71oZ62MKd0,401588,22307,40,2024-09-27T15:51:25Z,PT51S
Maxime pète un câble en plein tournage,SQUEEZIE,https://www.youtube.com/watch?v=afMhlrQwZH4,387173,26245,27,2024-09-25T18:08:37Z,PT14S
Squeezie invente une insulte pour YouTuber,SQUEEZIE,https://www.youtube.com/watch?v=mcMN1dTc-5E,1032736,63864,103,2024-09-23T09:00:45Z,PT30S
"Désactive l'IA ou elle détruira ta vie... (ft Djilsi, Billy & Maxime Biaggi)",SQUEEZIE,https://www.youtube.com/watch?v=oeJENlvGJpw,8440516,437775,4000,2024-09-22T15:29:05Z,PT39M41S
L'imposteur a craqué sous la pression,SQUEEZIE,https://www.youtube.com/watch?v=rZJgx_m07jo,678399,37989,67,2024-09-14T17:00:40Z,PT50S
La Tour Eiffel algérienne,SQUEEZIE,https://www.youtube.com/watch?v=sdrZMWfTj4o,917078,46199,897,2024-09-10T17:00:52Z,PT44S
Squeezie serait-il raciste ?!,SQUEEZIE,https://www.youtube.com/watch?v=jnUoOoUoWoA,1831818,121365,305,2024-09-08T11:45:04Z,PT51S
QUI EST L'IMPOSTEUR ? (ft Fary & Jean-Pascal Zadi),SQUEEZIE,https://www.youtube.com/watch?v=K1_LQEuw0L4,12880444,512891,7731,2024-09-07T17:39:10Z,PT48M45S
Cet agent secret français est un énorme mytho,SQUEEZIE,https://www.youtube.com/watch?v=DteuaGMck4k,7764280,371725,4601,2024-08-03T17:09:50Z,PT26M29S
