title,channel,video_url,views,likes,comments,publishedAt,duration
en fait les cours en ligne c'est hilarant,SQUEEZIE,https://www.youtube.com/watch?v=0n0o2QN4oN8,17722149,840520,16308,2020-11-25T18:30:35Z,PT11M30S
LE PLUS GROS CACHE-CACHE DE FRANCE #2,SQUEEZIE,https://www.youtube.com/watch?v=DLvC_r6GeFs,14502266,755093,18235,2020-11-20T17:10:17Z,PT31M16S
pourquoi j'ai acheté ces jouets ??,SQUEEZIE,https://www.youtube.com/watch?v=MUMaZ4E8gKM,9063984,545696,12356,2020-11-17T19:23:48Z,PT16M27S
et pourtant ça finit bien,SQUEEZIE,https://www.youtube.com/watch?v=unTN7BxDM9g,14338344,733951,17416,2020-11-11T18:34:51Z,PT10M28S
on surprend des petits streamers,SQUEEZIE,https://www.youtube.com/watch?v=6kMf1x1cxk8,7150400,605938,16202,2020-11-06T18:07:40Z,PT13M50S
"cette fois, ce sont VOS histoires",SQUEEZIE,https://www.youtube.com/watch?v=2gwXQc78z-I,20811626,836718,28421,2020-10-31T18:17:50Z,PT20M4S
ils ont vécu mon cauchemar,SQUEEZIE,https://www.youtube.com/watch?v=hUTQIByPlTQ,13955217,760455,26715,2020-10-27T17:35:39Z,PT16M44S
qui veut de ça chez lui ??,SQUEEZIE,https://www.youtube.com/watch?v=2ol9LmWlf5Y,8571903,500943,10682,2020-10-23T16:06:34Z,PT9M53S
mais c'est quoi ça encore ??,SQUEEZIE,https://www.youtube.com/watch?v=_-nqGrCzctE,7684332,530240,10178,2020-10-17T16:30:58Z,PT12M40S
"si vous entendez ce bruit, fuyez",SQUEEZIE,https://www.youtube.com/watch?v=_QF0gn93ljc,12591390,662679,19624,2020-10-11T17:21:54Z,PT12M54S
je découvre un sacré game là,SQUEEZIE,https://www.youtube.com/watch?v=sieJs8h9kws,8554255,540993,11877,2020-10-07T17:23:53Z,PT10M53S
on fait des trucs idiots à ne pas reproduire chez vous,SQUEEZIE,https://www.youtube.com/watch?v=MwfUYq_OOfU,17155609,846499,14678,2020-10-03T15:43:27Z,PT15M47S
Squeezie - Tout (Clip Officiel),SQUEEZIE,https://www.youtube.com/watch?v=Gx5JhyUwvWo,5668316,349927,16097,2020-09-29T16:00:09Z,PT3M28S
pourquoi j'ai voulu tout faire moi-même ??,SQUEEZIE,https://www.youtube.com/watch?v=USaO1UtBMK0,9055584,524298,12675,2020-09-27T17:02:31Z,PT17M54S
OXYZ (Transonorisation M7245),SQUEEZIE,https://www.youtube.com/watch?v=CqmEar_QoDk,1957952,191544,7199,2020-09-25T16:36:54Z,PT1M
je dois vous parler de cette émission,SQUEEZIE,https://www.youtube.com/watch?v=Tt46K1cGEbo,6799174,464229,11137,2020-09-19T16:55:30Z,PT15M12S
mais comment ça peut finir comme ça ??,SQUEEZIE,https://www.youtube.com/watch?v=1wov5txk_Pg,13285850,670632,15910,2020-09-14T16:59:05Z,PT11M51S
ils ont sous-estimé mon cahier de vacances,SQUEEZIE,https://www.youtube.com/watch?v=Bt7Nf6l2OAI,7441849,545031,19970,2020-09-10T16:19:39Z,PT18M55S
Squeezie ft. Gambi - Servis (Clip Officiel),SQUEEZIE,https://www.youtube.com/watch?v=oQ0mehzV-y8,10316164,569889,47716,2020-09-04T16:37:19Z,PT4M56S
il ne faut surtout pas s'arrêter...,SQUEEZIE,https://www.youtube.com/watch?v=M4HIYqQn7zU,13463660,731657,24619,2020-08-31T17:08:22Z,PT13M56S
'KOJIKA',SQUEEZIE,https://www.youtube.com/watch?v=tmFhkVZQg_E,2214821,223880,14132,2020-08-26T16:41:39Z,PT1M45S
je sors un album et j’vous raconte tout,SQUEEZIE,https://www.youtube.com/watch?v=1NX0KyA8984,4350442,392594,23155,2020-08-21T16:28:08Z,PT19M10S
c'est du mauvais goût ou pas ??,SQUEEZIE,https://www.youtube.com/watch?v=YZqPyNlpux8,13027868,633071,17571,2020-08-16T16:25:45Z,PT10M23S
la vengeance de ce mec est incroyable,SQUEEZIE,https://www.youtube.com/watch?v=PX6-ULUCLds,12402720,786809,16704,2020-08-09T14:46:04Z,PT12M2S
j'ai un nouveau studio (F.A.Q.),SQUEEZIE,https://www.youtube.com/watch?v=3QU0Iv7KcWw,6770466,536291,26096,2020-08-03T17:21:04Z,PT19M38S
j’ai réussi et je veux rien entendre,SQUEEZIE,https://www.youtube.com/watch?v=Oxxyac_L7A4,9391803,637287,20970,2020-07-28T18:01:32Z,PT13M36S
j'ai rien compris mais wow,SQUEEZIE,https://www.youtube.com/watch?v=383E2RAPq7U,14683873,658060,16530,2020-07-22T18:05:53Z,PT12M53S
les apparences sont trompeuses...,SQUEEZIE,https://www.youtube.com/watch?v=78J937mvH4g,13409807,667618,25323,2020-07-17T15:53:47Z,PT15M25S
j'espère que vous n'avez jamais eu ces jouets,SQUEEZIE,https://www.youtube.com/watch?v=qbzvJE7sg_g,16682988,655598,32040,2020-07-12T16:44:59Z,PT13M41S
YOKO - Collection 'Melody',SQUEEZIE,https://www.youtube.com/watch?v=w1hF4HYNQOI,1863456,171959,14175,2020-07-11T12:27:57Z,PT49S
qui est le meilleur magicien ?,SQUEEZIE,https://www.youtube.com/watch?v=peBcayBVoCM,11935436,634572,10858,2020-07-07T18:05:08Z,PT18M16S
Squeezie - Guépard (feat Nemir),SQUEEZIE,https://www.youtube.com/watch?v=DMp3V4BHyRQ,10275075,548806,41038,2020-07-03T16:04:06Z,PT2M45S
lâchez-moi avec ça c'est mooort !!,SQUEEZIE,https://www.youtube.com/watch?v=8ikjOH92P5A,11103106,653055,19780,2020-06-30T17:33:55Z,PT10M13S
les gars j'suis devenu ingénieur,SQUEEZIE,https://www.youtube.com/watch?v=S1qqgbflibY,7868929,565067,19780,2020-06-25T17:00:18Z,PT12M40S
en fait c'est fabriqué comme ça ??,SQUEEZIE,https://www.youtube.com/watch?v=c8r7qkxaZXI,12206067,608512,18852,2020-06-21T15:32:54Z,PT12M11S
Méfiez-vous de vos voisins,SQUEEZIE,https://www.youtube.com/watch?v=VyrQvEv1tak,13595479,688300,27897,2020-06-16T16:27:31Z,PT14M22S
mais comment ?!?!,SQUEEZIE,https://www.youtube.com/watch?v=XkQE9rxBlK0,15838486,718323,22724,2020-06-10T17:29:29Z,PT12M6S
j’ai trouvé la meilleure activité !!,SQUEEZIE,https://www.youtube.com/watch?v=66cvCPk_9BM,7387572,584499,18881,2020-06-05T17:46:14Z,PT10M33S
voilà pourquoi j'ai peur de l'avion,SQUEEZIE,https://www.youtube.com/watch?v=kvYSwgmcVE0,11481151,646972,24644,2020-06-01T17:03:39Z,PT15M4S
mon premier et dernier entretien d’embauche,SQUEEZIE,https://www.youtube.com/watch?v=xAue4Xr3Bc0,8714248,590384,20427,2020-05-26T18:17:44Z,PT15M6S
qui conduit comme eux ici ?,SQUEEZIE,https://www.youtube.com/watch?v=PHsf56jSguM,12314701,720070,21610,2020-05-21T17:40:42Z,PT13M42S
Le parc d'attractions le plus DANGEREUX au monde,SQUEEZIE,https://www.youtube.com/watch?v=jxWX1gANA5M,22772714,902893,24969,2020-05-16T17:37:09Z,PT15M22S
j'espère que vous avez un grenier,SQUEEZIE,https://www.youtube.com/watch?v=wL4ExF7NCsg,19105616,745548,30297,2020-05-11T18:46:34Z,PT18M41S
j’achèèète !!,SQUEEZIE,https://www.youtube.com/watch?v=yYg8UAnEckw,17609312,735174,18008,2020-05-06T16:31:48Z,PT10M31S
je suis incapable de faire ça,SQUEEZIE,https://www.youtube.com/watch?v=1orOt3vtYvU,10696791,547828,28889,2020-05-02T17:14:04Z,PT11M19S
me dérangez pas je joue avec mon fils,SQUEEZIE,https://www.youtube.com/watch?v=tJ39eFYOVok,8243844,585587,16333,2020-04-27T17:18:14Z,PT10M21S
là on va vraiment se faire peur,SQUEEZIE,https://www.youtube.com/watch?v=AikKYjIyoR8,11376148,587356,35171,2020-04-22T17:13:43Z,PT11M33S
les gars j'ai appris à cuisiner,SQUEEZIE,https://www.youtube.com/watch?v=N8wzPaZCwbw,12933678,665131,35888,2020-04-17T16:49:17Z,PT14M25S
Leurs occupations sont mieux que les nôtres,SQUEEZIE,https://www.youtube.com/watch?v=6V7Qzn5YeXo,11225320,600173,22863,2020-04-12T18:52:52Z,PT10M41S
Je ne veux pas croiser ces gens,SQUEEZIE,https://www.youtube.com/watch?v=2RB1Wi35K9g,14357465,683030,26580,2020-04-08T18:48:19Z,PT15M50S
ma nouvelle vie commence maintenant,SQUEEZIE,https://www.youtube.com/watch?v=RlqOX0kK5G0,11069229,543838,22525,2020-04-03T17:36:22Z,PT13M34S
Cette fois vous pleurez c'est obligé,SQUEEZIE,https://www.youtube.com/watch?v=5uIsu68nGp8,9030584,576629,32409,2020-03-30T17:43:32Z,PT10M54S
J’avais que ça sous la main mais j’ai adoré,SQUEEZIE,https://www.youtube.com/watch?v=zibw0LoKIu4,8779923,567450,27093,2020-03-26T18:20:41Z,PT13M12S
C'est mal mais vous allez rire,SQUEEZIE,https://www.youtube.com/watch?v=aSJCwLz0IT8,20362753,713535,15281,2020-03-21T19:12:26Z,PT11M2S
Arrêtons les bêtises et restons chez nous,SQUEEZIE,https://www.youtube.com/watch?v=VXpThH70Hp4,5875289,536316,30808,2020-03-18T18:34:22Z,PT11M41S
Les énigmes me rendent fou,SQUEEZIE,https://www.youtube.com/watch?v=F4bfWAz94cE,7953452,448418,10034,2020-03-14T18:46:25Z,PT10M24S
Nous deux et Isabelle la gymnaste,SQUEEZIE,https://www.youtube.com/watch?v=FIq0XBksTe0,10451028,621401,12166,2020-03-10T18:16:46Z,PT11M35S
Fermez bien votre porte cette nuit,SQUEEZIE,https://www.youtube.com/watch?v=SULPUE6tZmg,13527555,620634,20330,2020-03-06T17:57:30Z,PT16M38S
Est-ce vraiment intéressant ? ¯\_(ツ)_/¯,SQUEEZIE,https://www.youtube.com/watch?v=W8StdG16rUI,10923523,498105,10708,2020-02-29T17:36:24Z,PT10M18S
J’ai ramené ça du Japon et je suis fan,SQUEEZIE,https://www.youtube.com/watch?v=YQHSAu6CUjA,8089483,535321,19572,2020-02-25T18:29:02Z,PT11M49S
Faites pas les ouf vous allez pleurer aussi,SQUEEZIE,https://www.youtube.com/watch?v=FVaUVdGl6lQ,15758067,771405,23161,2020-02-15T16:26:12Z,PT11M28S
Vous vous souvenez de ça ?,SQUEEZIE,https://www.youtube.com/watch?v=MxJFMHGqLSs,8883395,495759,10454,2020-02-10T17:45:18Z,PT11M53S
Ça nous fera toujours rire,SQUEEZIE,https://www.youtube.com/watch?v=Glj5Qj7qdy4,8802995,464271,7763,2020-02-05T17:46:07Z,PT12M45S
Il attend devant chez vous...,SQUEEZIE,https://www.youtube.com/watch?v=kMt5bvozISA,12240549,581498,17311,2020-01-31T18:31:18Z,PT11M5S
Il se passe quoi avec les pubs Facebook et Insta ?,SQUEEZIE,https://www.youtube.com/watch?v=5PTuhR6_mCg,10095989,437740,11480,2020-01-26T11:25:30Z,PT11M14S
QUI POSSÈDE LE MEILLEUR JOUET ? #2,SQUEEZIE,https://www.youtube.com/watch?v=CxEbVy7BYwk,13977954,560620,13647,2020-01-21T18:03:52Z,PT21M6S
Vous voyez quoi vous ?,SQUEEZIE,https://www.youtube.com/watch?v=WpiV8C5Uric,10046915,510288,14014,2020-01-12T17:49:35Z,PT10M26S
SQUEEZIE - INFLUENCEURS,SQUEEZIE,https://www.youtube.com/watch?v=o_jWNAh_aQA,15133782,637311,43512,2020-01-08T17:00:17Z,PT3M18S
Ils ont vécu un thread horreur pour de vrai,SQUEEZIE,https://www.youtube.com/watch?v=6IZXIRqWvds,14499789,750316,27248,2020-01-06T18:42:59Z,PT16M45S
Comment j'ai pu passer à côté ?,SQUEEZIE,https://www.youtube.com/watch?v=P9Nr5W9aaRE,11286451,579072,13618,2019-12-30T18:07:29Z,PT11M28S
C'est exactement ce que vous pensez...,SQUEEZIE,https://www.youtube.com/watch?v=eS009cRz-XU,11039805,506017,21145,2019-12-25T17:28:48Z,PT15M21S
Ces trucs existent et vous ne le saviez pas,SQUEEZIE,https://www.youtube.com/watch?v=Rm6yGWD4asE,12521349,510254,10588,2019-12-20T18:40:24Z,PT10M35S
Êtes-vous vraiment seul chez vous ?,SQUEEZIE,https://www.youtube.com/watch?v=8cpz4DKWBZ8,12543165,648318,20976,2019-12-16T18:22:21Z,PT13M39S
Il est temps d'assumer mes bêtises...,SQUEEZIE,https://www.youtube.com/watch?v=cmggYgapaRo,17112485,750639,50390,2019-12-11T17:30:17Z,PT14M27S
YOKO - Collection 'Kamen',SQUEEZIE,https://www.youtube.com/watch?v=ScHhBeIa9ps,2112146,204129,10535,2019-12-09T18:43:24Z,PT2M18S
Qu'est-ce-tu vas faire maintenant ?,SQUEEZIE,https://www.youtube.com/watch?v=V58w6VpWAi4,10531598,536995,31854,2019-12-05T17:54:42Z,PT16M12S
Un délire parti très loin,SQUEEZIE,https://www.youtube.com/watch?v=geXbwKKNWEI,7708696,483123,9923,2019-11-29T19:12:48Z,PT21M16S
"Et ça, vous l'avez vu ?",SQUEEZIE,https://www.youtube.com/watch?v=kr0EHZOUTbs,16753231,639436,18965,2019-11-25T17:08:00Z,PT11M26S
La décision de ma vie clairement (Linda Brown #fin),SQUEEZIE,https://www.youtube.com/watch?v=mGPCWxfNRz0,6341028,398678,14173,2019-11-20T17:29:58Z,PT23M59S
Après 23 ans d'existence je découvre le sens des expressions,SQUEEZIE,https://www.youtube.com/watch?v=YiQWq3oRxPY,8048927,436737,13248,2019-11-13T19:28:15Z,PT14M26S
L’activité de trop...,SQUEEZIE,https://www.youtube.com/watch?v=UhU58Iz9zqk,8473194,511687,23854,2019-11-08T19:16:53Z,PT12M58S
Si vous ne comprenez rien c’est normal moi non plus (Linda Brown #2),SQUEEZIE,https://www.youtube.com/watch?v=-1qR0oOR_q4,7010201,563593,34668,2019-11-03T18:19:11Z,PT16M13S
Ils vous observent peut-être...,SQUEEZIE,https://www.youtube.com/watch?v=go7TyVITj4M,14624987,606522,18700,2019-10-31T17:35:52Z,PT13M8S
Vous ne savez pas ce dont ils sont capables,SQUEEZIE,https://www.youtube.com/watch?v=R35uNxagzDM,12953686,580510,16204,2019-10-25T17:01:30Z,PT10M57S
C'était dangereux mais j'ai réussi,SQUEEZIE,https://www.youtube.com/watch?v=FMJ69AP_D4Q,9367429,499520,20081,2019-10-21T17:24:04Z,PT11M24S
J'ai honte d'aimer ça...,SQUEEZIE,https://www.youtube.com/watch?v=K4J9rCmJ3d4,9554960,702303,65583,2019-10-17T16:33:32Z,PT16M4S
Comment on faisait avant que ça existe ?,SQUEEZIE,https://www.youtube.com/watch?v=49gzhsRfRCg,19650955,635456,14655,2019-10-11T17:23:05Z,PT10M23S
Vous savez très bien comment ça va finir,SQUEEZIE,https://www.youtube.com/watch?v=675GnRFIGO8,14782821,618646,22579,2019-10-07T16:31:20Z,PT10M57S
J'ai pas trop envie que ça m'arrive,SQUEEZIE,https://www.youtube.com/watch?v=GuR-TwudAe4,14541192,633623,28560,2019-10-02T18:18:08Z,PT12M25S
Vous passez une meilleure journée qu'eux,SQUEEZIE,https://www.youtube.com/watch?v=qCxtsJcDihk,17213305,664791,17212,2019-09-27T16:49:56Z,PT10M39S
Le domino game n'est pas prêt,SQUEEZIE,https://www.youtube.com/watch?v=qAtGSDgAWVw,11362488,552906,16744,2019-09-23T16:38:30Z,PT10M6S
Quel Squeezie est le vrai ?,SQUEEZIE,https://www.youtube.com/watch?v=2J3xPtmq7yk,11984922,551745,9463,2019-09-17T17:27:56Z,PT13M29S
Je soigne ma phobie de la mer,SQUEEZIE,https://www.youtube.com/watch?v=1NZY5fvxxtQ,14215893,564956,25424,2019-09-12T17:03:20Z,PT10M53S
3 histoires vraies qui m’ont vraiment fait peur,SQUEEZIE,https://www.youtube.com/watch?v=6zLFBIANBUs,15729452,641515,23515,2019-09-07T17:04:44Z,PT14M21S
Ne m'invitez pas à vos anniversaires,SQUEEZIE,https://www.youtube.com/watch?v=fanYIYzsqw4,9308066,499606,22852,2019-09-02T17:46:15Z,PT10M41S
Le bilan un poil chiant où je parle de moi,SQUEEZIE,https://www.youtube.com/watch?v=_hoKAeItU_w,4539515,370938,14786,2019-08-24T17:13:21Z,PT13M55S
Je vous piège une nouvelle fois et ça a bien marché,SQUEEZIE,https://www.youtube.com/watch?v=Fzb9RV4x2X0,6943230,508750,10632,2019-08-18T17:08:59Z,PT12M49S
Le vrai visage de Squeezie,SQUEEZIE,https://www.youtube.com/watch?v=lt3o_0aq2ys,11039474,516445,20767,2019-08-12T17:06:24Z,PT12M53S
Une énième vidéo avec mon chien mais pour une bonne raison,SQUEEZIE,https://www.youtube.com/watch?v=Bt_KThq8_O4,12639632,620154,18266,2019-08-06T16:27:25Z,PT12M32S
Est-ce qu’on connaît vraiment YouTube ?,SQUEEZIE,https://www.youtube.com/watch?v=8BRG2tLM4Tw,11093012,491079,7620,2019-08-01T17:41:27Z,PT14M56S
J’essaie l’origami et c’est l’enfer,SQUEEZIE,https://www.youtube.com/watch?v=9IEy2aMb1mU,8504441,418596,18724,2019-07-27T17:14:50Z,PT15M9S
Est-ce vraiment ce que vous voulez ?,SQUEEZIE,https://www.youtube.com/watch?v=5Y70u4zGtJU,13673465,620647,27154,2019-07-22T15:09:57Z,PT11M7S
Réponse à vos questions (enfin pas toutes car y'en a vraiment beaucoup mais pas mal quand même),SQUEEZIE,https://www.youtube.com/watch?v=HKgwU93u9Vo,5741191,410186,30882,2019-07-17T16:44:10Z,PT12M13S
Ces images m'ont fait mal au crâne mais je vais bien,SQUEEZIE,https://www.youtube.com/watch?v=8A9YDTKiwo4,15301973,582017,13551,2019-07-12T16:35:30Z,PT10M26S
Une nouvelle histoire qui fait bien peur (courage),SQUEEZIE,https://www.youtube.com/watch?v=VyM776m9GsQ,14377239,635921,39230,2019-07-07T17:00:02Z,PT14M1S
YOKO - Collection 'Basic' et 'Yokai',SQUEEZIE,https://www.youtube.com/watch?v=jFJyCgNU0T8,3576486,267260,23274,2019-07-03T16:00:21Z,PT2M
Arrêtez de m’offrir ça j'y arrive pas,SQUEEZIE,https://www.youtube.com/watch?v=E9AuAVfEAnw,15675770,633012,18804,2019-07-01T17:00:13Z,PT16M55S
Je déterre mes vieux tweets (c’est gênant mais touchant),SQUEEZIE,https://www.youtube.com/watch?v=80H0fnT8sZs,9399775,552426,13760,2019-06-26T16:57:20Z,PT11M49S
J'ai découvert ce bouton et ça a tout changé (ok j'exagère un peu),SQUEEZIE,https://www.youtube.com/watch?v=pfTGWKbPIvE,11612979,651088,15294,2019-06-21T16:31:13Z,PT10M52S
Ça commence mal mais ça finit bien...,SQUEEZIE,https://www.youtube.com/watch?v=0blw7r3IPjw,19706733,626348,12316,2019-06-16T15:12:40Z,PT9M40S
Comment faire un clip de l'été ? (légèrement cliché),SQUEEZIE,https://www.youtube.com/watch?v=gVTWy2k0-tc,6989279,290185,6372,2019-06-12T17:25:57Z,PT15M1S
Squeezie ft Joyca - Bye Bye,SQUEEZIE,https://www.youtube.com/watch?v=L3pqPw9ipCg,39028879,1109862,59805,2019-06-08T15:05:11Z,PT2M51S
Kezah ft Freddy - Mirador,SQUEEZIE,https://www.youtube.com/watch?v=UZLNgz1AqCE,55062752,1156382,52936,2019-06-08T15:04:56Z,PT2M51S
Qui fera le meilleur hit de l'été ? (en 3 jours),SQUEEZIE,https://www.youtube.com/watch?v=ZQjCh7oDRLo,22677747,698610,37919,2019-06-05T17:15:25Z,PT1H8M24S
J'ai pris une méga douille (mais je l'ai cherché),SQUEEZIE,https://www.youtube.com/watch?v=HanfxLSk0a8,12807986,516231,11481,2019-05-31T17:15:11Z,PT14M14S
3 histoires qui vont gâcher votre nuit (et la mienne),SQUEEZIE,https://www.youtube.com/watch?v=qzSSOAl1FLE,19233666,676974,38390,2019-05-25T16:34:00Z,PT14M31S
J'apprends à dessiner et j'y arrive vite fait,SQUEEZIE,https://www.youtube.com/watch?v=7bj3XZ0AQCU,13807162,588954,48570,2019-05-18T17:04:01Z,PT14M36S
Je découvre mon visage s'il était parfait,SQUEEZIE,https://www.youtube.com/watch?v=Ji_dK9KzTng,8083276,434870,13879,2019-05-08T17:15:55Z,PT10M23S
"On a échangé nos styles... (ft Seb, Maxenss, Luciole)",SQUEEZIE,https://www.youtube.com/watch?v=HRrbEm41pCU,11989068,496530,13768,2019-05-04T18:08:20Z,PT19M18S
Cette caméra filme toute sorte de choses drôles (titre très long),SQUEEZIE,https://www.youtube.com/watch?v=0s8a2zx3clg,12412373,519117,8278,2019-04-26T17:30:08Z,PT11M16S
ON ESSAYE DES OBJETS ÉTRANGES #4,SQUEEZIE,https://www.youtube.com/watch?v=j0LleIRihAM,29357058,789466,21133,2019-04-21T08:46:19Z,PT14M25S
Comment devenir riche sur YouTube ? (6 techniques),SQUEEZIE,https://www.youtube.com/watch?v=KWdsHZ2OCkI,7165875,448011,17291,2019-04-14T15:48:29Z,PT13M33S
Le métier le plus dangereux du monde,SQUEEZIE,https://www.youtube.com/watch?v=QV9tsas8z_M,15861736,587539,9717,2019-04-10T16:31:19Z,PT10M31S
Quand on se rencontre dans la rue,SQUEEZIE,https://www.youtube.com/watch?v=7ASjZ6NfuA4,10546627,540570,17783,2019-04-04T16:39:30Z,PT13M19S
"L'ACADÉMIE DES CANCRES #2 (ft Laink, Terracid, Maghla)",SQUEEZIE,https://www.youtube.com/watch?v=T_4lXthmpj0,18241474,568903,29727,2019-03-29T19:29:06Z,PT23M9S
Continuez à faire ça s'il vous plaît (les mods),SQUEEZIE,https://www.youtube.com/watch?v=sZFRwgErDiQ,6730774,335168,11765,2019-03-25T18:09:46Z,PT12M13S
Vous n'allez pas dormir... (3 vraies histoires d'horreur),SQUEEZIE,https://www.youtube.com/watch?v=VpRVq07A_Ak,14783848,589289,38645,2019-03-21T17:50:41Z,PT10M32S
La nature est surprenante (genre ce crabe),SQUEEZIE,https://www.youtube.com/watch?v=5yx_We_8w2c,12467004,526262,22792,2019-03-17T18:49:31Z,PT12M42S
Réponse à Cyprien,SQUEEZIE,https://www.youtube.com/watch?v=6vVYUFumQCI,32883317,1130194,61383,2019-03-13T17:25:13Z,PT2M9S
Mon chien est le plus intelligent (objectivement),SQUEEZIE,https://www.youtube.com/watch?v=VfKlNLLK9NQ,13577667,553054,30759,2019-03-10T17:23:59Z,PT12M48S
LA FIN DES YOUTUBEURS ? (non),SQUEEZIE,https://www.youtube.com/watch?v=kuCv9TJbNh4,6553367,447230,23472,2019-03-07T18:06:44Z,PT12M55S
LES SPORTS IMPROBABLES,SQUEEZIE,https://www.youtube.com/watch?v=MyITSot_amg,16119025,534755,16964,2019-03-04T18:37:29Z,PT10M40S
CES GENS SONT DANGEREUX ⚠️ (Y'a quoi #2),SQUEEZIE,https://www.youtube.com/watch?v=sEkbibtqbbI,8046140,582741,28839,2019-02-28T17:18:19Z,PT13M49S
NOS PARENTS À NOTRE ÂGE,SQUEEZIE,https://www.youtube.com/watch?v=J6ntbiGV7Vc,9127457,429075,11713,2019-02-23T15:31:48Z,PT17M9S
SQUEEZIE - LE GAMING C'EST FINI,SQUEEZIE,https://www.youtube.com/watch?v=Rgt8wbx-OnU,12969207,466021,31958,2019-02-20T17:29:05Z,PT3M37S
VAIS-JE ARRÊTER LE GAMING ?,SQUEEZIE,https://www.youtube.com/watch?v=KsEErBliIjw,6688659,356392,21316,2019-02-15T18:15:15Z,PT11M43S
LA TÉLÉ VA-T-ELLE DISPARAÎTRE ? (Y’a quoi #1),SQUEEZIE,https://www.youtube.com/watch?v=S_a81xsZ6bc,7025710,498054,31818,2019-02-10T14:35:52Z,PT11M13S
QUI ÉCRIT CES ARTICLES ET POURQUOI ? 🤔,SQUEEZIE,https://www.youtube.com/watch?v=0lWmz76nB74,7985695,428453,12448,2019-02-05T19:10:00Z,PT13M30S
3 HISTOIRES VRAIES ANGOISSANTES,SQUEEZIE,https://www.youtube.com/watch?v=f8p_kNZhSZo,16814866,627842,23143,2019-02-01T17:19:40Z,PT13M33S
MON NOUVEAU DÉCOR ! (Setup 2019),SQUEEZIE,https://www.youtube.com/watch?v=j9HYtsxteW0,7399900,493788,33751,2019-01-27T18:51:55Z,PT14M39S
LES TEMPS FORTS SUR YOUTUBE (JANVIER),SQUEEZIE,https://www.youtube.com/watch?v=3Ye5GJgZw8c,11449212,725700,38167,2019-01-22T18:43:16Z,PT12M29S
"L’ACADÉMIE DES CANCRES ! (ft Seb, Luciole, Théo Bernard)",SQUEEZIE,https://www.youtube.com/watch?v=lXGYAoyabdg,24575026,730871,25683,2019-01-19T16:33:29Z,PT24M59S
REGARDEZ ATTENTIVEMENT CHAQUE IMAGE 🤔,SQUEEZIE,https://www.youtube.com/watch?v=LSI-tcAuk90,19372676,693443,22481,2019-01-11T18:41:00Z,PT10M12S
LES MEILLEURS MOMENTS EN LIVE (2018),SQUEEZIE,https://www.youtube.com/watch?v=DD-RH0VOrBs,4465229,215265,4964,2019-01-06T16:19:27Z,PT12M9S
JE VIDE MON SAC !,SQUEEZIE,https://www.youtube.com/watch?v=Gq30hwLYwq8,4840723,423771,21639,2019-01-03T18:25:02Z,PT8M54S
Frenetics - I Feel A Man (Official Music Video),SQUEEZIE,https://www.youtube.com/watch?v=jiV1tIVsuUU,13259717,445493,35391,2018-12-26T13:57:54Z,PT3M14S
3 VRAIES HISTOIRES TERRIFIANTES...,SQUEEZIE,https://www.youtube.com/watch?v=tL3-kd9zl_s,17434845,821357,32499,2018-12-23T12:04:54Z,PT13M5S
SQUEEZIE - FREESTYLE DE TWITTER (ft Bigflo & Oli),SQUEEZIE,https://www.youtube.com/watch?v=0S-0jhWMYMc,34882274,821424,33947,2018-12-20T17:10:56Z,PT3M24S
ON CRÉE UNE MUSIQUE EN 24H (ft Bigflo & Oli) #fin,SQUEEZIE,https://www.youtube.com/watch?v=IeJ1496NLIw,8341183,394625,14719,2018-12-18T17:23:08Z,PT16M13S
LES COULISSES D'UNE GROSSE VIDÉO,SQUEEZIE,https://www.youtube.com/watch?v=QOaIYVrz_vc,3318306,194472,5440,2018-12-15T14:15:27Z,PT13M28S
LA PREMIÈRE FOIS (Rainbow Six Siege IRL),SQUEEZIE,https://www.youtube.com/watch?v=N6d0wyShsyA,8306287,543075,29474,2018-12-11T17:05:36Z,PT4M58S
VOYEZ-VOUS LE VISAGE ? (Panorama fails + paréidolie),SQUEEZIE,https://www.youtube.com/watch?v=facaLreaqZw,14504840,494149,14385,2018-12-09T11:01:17Z,PT10M30S
IL Y A 10 ANS J'EN RÊVAIS !,SQUEEZIE,https://www.youtube.com/watch?v=VnIbouZWfnE,5416678,277967,7570,2018-12-05T18:58:33Z,PT10M54S
CET HOMME FAIT CE QU'IL VEUT,SQUEEZIE,https://www.youtube.com/watch?v=9A8BCkT0J8M,12449609,554995,12985,2018-11-26T18:35:26Z,PT13M36S
ÇA DOIT S'ARRÊTER !,SQUEEZIE,https://www.youtube.com/watch?v=-oiCAL2-tqI,26573163,795222,31377,2018-11-22T18:13:11Z,PT12M36S
UN CAS MYSTÉRIEUX...,SQUEEZIE,https://www.youtube.com/watch?v=clIh2__gIR4,12709242,576190,18745,2018-11-18T17:18:03Z,PT12M23S
J’AVAIS BESOIN D’EN PARLER,SQUEEZIE,https://www.youtube.com/watch?v=nvEITZp7XkU,7262518,468313,28487,2018-11-14T17:51:23Z,PT10M38S
1990 VS 2000 (Clash des générations),SQUEEZIE,https://www.youtube.com/watch?v=rjq6FJSAVJ0,34258174,860558,71718,2018-11-06T16:48:53Z,PT3M47S
ATTENTION À NE PAS TOMBER ! (vlog dangereux),SQUEEZIE,https://www.youtube.com/watch?v=z_OWG_Z98xg,3639959,245314,9113,2018-11-03T18:36:22Z,PT10M55S
